COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur
25,Lleida,2017,18124,73,300.0,376.50887573964496,364.713418671375,76.50887573964496
25,Lleida,2018,19406,80,300.0,376.4720630372493,367.75729155931157,76.47206303724931
25,Lleida,2019,20949,88,307.0669642857143,385.79720279720283,384.17905389278724,78.73023851148855
25,Lleida,2020,21897,92,323.70341474445956,399.71153846153845,396.82340046581726,76.00812371707889
25,Lleida,2021,22840,93,338.2142857142857,402.9160839160839,409.2224168126095,64.70179820179817
25,Lleida,2022,23789,97,350.0,408.0,425.35772836184793,58.0
25,Lleida,2023,24919,102,358.1818181818182,419.25,446.7200529716281,61.06818181818181
25,Lleida,2024,25913,106,375.5722891566265,450.0,463.87473468915215,74.42771084337352
26,"Rioja, La",2011,7880,23,300.0,371.0,403.2722081218274,71.0
26,"Rioja, La",2012,8070,23,300.0,351.0,384.229863692689,51.0
26,"Rioja, La",2013,8213,24,283.75,321.41326530612247,376.1100694021673,37.66326530612247
26,"Rioja, La",2014,8896,24,294.6875,326.9664948453608,361.46391636690646,32.278994845360785
26,"Rioja, La",2015,9565,24,293.83777239709445,327.17201834862385,362.62352326189233,33.3342459515294
26,"Rioja, La",2016,10439,26,280.36290322580646,310.5769230769231,369.6173005077115,30.214019851116632
26,"Rioja, La",2017,11180,27,279.78378378378375,321.0115860304222,379.31610017889085,41.227802246638475
26,"Rioja, La",2018,11944,28,289.25,338.5,380.6264233087743,49.25
26,"Rioja, La",2019,12928,28,299.2029702970297,347.2560975609756,403.04602413366337,48.053127263945896
26,"Rioja, La",2020,13946,32,300.0,365.4166666666667,419.9987093073283,65.41666666666669
26,"Rioja, La",2021,14526,32,305.5,364.03181818181815,425.48216990224427,58.53181818181815
26,"Rioja, La",2022,15121,32,319.72222222222223,375.7848837209302,445.38654850869654,56.062661498707996
26,"Rioja, La",2023,15924,33,336.12307692307695,395.7044673539519,465.5128108515448,59.58139043087493
