COD_PROVINCIA,province_name,analysis_window,baseline_note,baseline_year,current_year,baseline_rent_eur_month,current_rent_eur_month,rent_change_eur_month,rent_growth_total_pct,rent_growth_annual_pct,growth_total_pct,growth_annual_pct,recent_start_year,recent_start_rent_eur_month,growth_recent_pct,growth_recent_annual_pct,pre_start_year,pre_end_year,pre_start_rent_eur_month,pre_end_rent_eur_month,growth_pre_pct,growth_pre_annual_pct,acceleration_pp_year,trajectory_class,trajectory_description,series_complete_2011_2019,first_year_available,years_available,baseline_rental_homes,current_rental_homes,baseline_municipalities,current_municipalities,baseline_municipal_spread_eur,current_municipal_spread_eur,growth_class,has_growth_history
11,Cádiz,2019-2024,Comparacion exacta,2019.0,2024,496.8,580.42,83.61,16.83,3.16,16.83,3.16,2021,520.87,11.43,3.67,2011,2019,444.97,496.8,11.65,1.39,2.29,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,29486.0,35437,36.0,37,157.56,198.54,Crecimiento bajo,True
27,Lugo,2019-2024,Comparacion exacta,2019.0,2024,316.1,367.87,51.78,16.38,3.08,16.38,3.08,2021,323.96,13.56,4.33,2011,2019,301.36,316.1,4.89,0.6,3.73,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,11281.0,14415,40.0,50,43.24,56.87,Crecimiento bajo,True
10,Cáceres,2019-2024,Comparacion exacta,2019.0,2024,360.71,418.74,58.02,16.09,3.03,16.09,3.03,2021,366.77,14.17,4.52,2011,2019,343.06,360.71,5.15,0.63,3.89,Subida sostenida,Crecimiento antes de 2019 y tambien en el tramo reciente.,True,2011,14,9851.0,12543,37.0,46,70.14,51.87,Crecimiento bajo,True
09,Burgos,2019-2024,Comparacion exacta,2019.0,2024,433.52,503.12,69.6,16.06,3.02,16.06,3.02,2021,456.24,10.28,3.31,2011,2019,430.58,433.52,0.68,0.09,3.23,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,13460.0,16584,31.0,35,140.71,152.13,Crecimiento bajo,True
31,Navarra,2021-2024,Primer ano comparable,2021.0,2024,515.45,595.36,79.92,15.5,4.92,15.5,4.92,2021,515.45,15.5,4.92,2011,2019,,,,,,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",False,2021,4,20992.0,24534,83.0,82,137.82,168.94,Crecimiento bajo,True
23,Jaén,2019-2024,Comparacion exacta,2019.0,2024,359.89,412.71,52.83,14.68,2.78,14.68,2.78,2021,375.01,10.05,3.24,2011,2019,353.27,359.89,1.87,0.23,3.01,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,9998.0,13189,36.0,50,50.97,55.25,Crecimiento muy bajo,True
32,Ourense,2019-2024,Comparacion exacta,2019.0,2024,337.26,386.38,49.11,14.56,2.76,14.56,2.76,2021,354.73,8.92,2.89,2011,2019,314.15,337.26,7.36,0.89,2.0,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,12056.0,14972,22.0,43,83.81,70.64,Crecimiento muy bajo,True
33,Asturias,2019-2024,Comparacion exacta,2019.0,2024,408.06,467.41,59.35,14.54,2.75,14.54,2.75,2021,423.72,10.31,3.33,2011,2019,386.61,408.06,5.55,0.68,2.65,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,52323.0,60454,57.0,60,65.09,90.11,Crecimiento muy bajo,True
14,Córdoba,2019-2024,Comparacion exacta,2019.0,2024,422.67,483.22,60.55,14.32,2.71,14.32,2.71,2021,439.78,9.88,3.19,2011,2019,416.94,422.67,1.37,0.17,3.02,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,14961.0,19610,34.0,48,34.33,53.82,Crecimiento muy bajo,True
37,Salamanca,2019-2024,Comparacion exacta,2019.0,2024,423.56,483.82,60.26,14.23,2.7,14.23,2.7,2021,428.06,13.03,4.17,2011,2019,389.91,423.56,8.63,1.04,3.13,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,16077.0,19023,29.0,34,105.46,125.81,Crecimiento muy bajo,True
49,Zamora,2019-2024,Comparacion exacta,2019.0,2024,347.42,394.07,46.65,13.43,2.55,13.43,2.55,2021,362.48,8.72,2.82,2011,2019,338.81,347.42,2.54,0.31,2.51,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,4434.0,5612,12.0,16,45.2,98.4,Crecimiento muy bajo,True
34,Palencia,2019-2024,Comparacion exacta,2019.0,2024,387.54,432.24,44.7,11.53,2.21,11.53,2.21,2021,393.53,9.83,3.18,2011,2019,345.57,387.54,12.15,1.44,1.73,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,5775.0,6865,18.0,23,99.75,68.0,Crecimiento muy bajo,True
51,Ceuta,2019-2024,Comparacion exacta,2019.0,2024,585.1,649.41,64.31,10.99,2.11,10.99,2.11,2021,624.69,3.96,1.3,2011,2019,543.8,585.1,7.59,0.92,0.38,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,2261.0,2612,1.0,1,0.0,0.0,Crecimiento muy bajo,True
52,Melilla,2019-2024,Comparacion exacta,2019.0,2024,531.9,582.92,51.02,9.59,1.85,9.59,1.85,2021,551.33,5.73,1.87,2011,2019,467.94,531.9,13.67,1.61,0.26,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",True,2011,14,2641.0,3161,1.0,1,0.0,0.0,Crecimiento muy bajo,True
20,Gipuzkoa,2022-2024,Primer ano comparable,2022.0,2024,724.13,770.73,46.6,6.44,3.17,6.44,3.17,2021,,,,2011,2019,,,,,,Crecimiento contenido,"Subida comparable, pero sin senales fuertes de tension.",False,2022,3,37064.0,40602,65.0,66,142.0,140.84,Crecimiento muy bajo,True
01,Araba/Álava,sin historico,Sin historico,,2024,,697.53,,,,,,2021,,,,2011,2019,,,,,,Sin historico comparable,No tiene ano inicial comparable antes del ano final.,False,2024,1,,11117,,21,,91.69,Sin historico comparable,False
48,Bizkaia,sin historico,Sin historico,,2024,,743.27,,,,,,2021,,,,2011,2019,,,,,,Sin historico comparable,No tiene ano inicial comparable antes del ano final.,False,2024,1,,36648,,77,,136.06,Sin historico comparable,False
