COD_PROVINCIA,province_name,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,annual_mean_c,monthly_std_c,monthly_range_c,seasonal_range_c,annual_anomaly_c,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
22,Huesca,4.850666666666666,6.248832547169813,9.369,12.406666666666666,16.791000000000004,21.858,24.820666666666664,24.471000000000007,19.690000000000005,15.09533333333333,8.747666666666667,5.5906666666666665,5.5426329394387,12.860434782608694,23.73675724637681,14.517421245421252,14.20425807629129,7.05,19.97,18.19412430693811,-0.09662319064400116,64.4,15633.17102890885,42.13716720950006,-0.0289571521186292,1995,2024
36,Pontevedra,8.986,9.325955188679249,10.880333333333336,12.42666666666667,14.76033333333333,17.616000000000003,20.023000000000003,20.447333333333336,18.570333333333338,15.53133333333333,11.659999999999997,9.669333333333332,9.32713072378139,12.691963768115942,19.38109057971014,15.25693772893773,14.184243475086692,4.06,11.46,10.053959855928749,-0.11663779184859813,64.1,4492.85223498659,42.36343819450008,-8.533924750728751,1995,2024
33,Asturias,9.088333333333331,9.312959905660378,10.781333333333333,12.099333333333332,14.592333333333327,17.482666666666663,19.369333333333334,20.093333333333334,18.519666666666662,16.12666666666667,11.882,9.853666666666667,9.42151033973412,12.495257246376807,18.99807246376812,15.51622710622711,14.126148932286908,3.93,11.01,9.576562124034002,-0.17473233464838245,63.4,10603.913756185826,43.27191501000004,-5.851969998063956,1995,2024
12,Castellon/Castello,5.807666666666666,6.67810141509434,9.306666666666668,11.935,15.984333333333332,20.878,23.797000000000004,23.476666666666667,19.09433333333333,15.101999999999997,9.325333333333331,6.595333333333333,6.350745937961594,12.413815217391306,22.737213768115943,14.513758241758245,14.038804526373424,6.38,17.99,16.38646783015435,-0.2620767405618665,62.3,6633.967085661144,40.25283130850005,-0.0602019030153027,1995,2024
50,Zaragoza,5.228333333333333,6.466674528301885,9.508000000000004,12.359333333333328,16.48966666666667,21.132,23.778,23.699,19.417333333333332,15.081666666666663,8.99,5.824999999999999,5.821026587887739,12.790300724637682,22.8885543478261,14.502765567765564,14.03810275597736,6.62,18.55,17.06752775993836,-0.26277851095793103,62.3,17276.668076915124,41.84402038850007,-1.170849419808773,1995,2024
18,Granada,4.688666666666666,5.85811320754717,8.506666666666666,11.383333333333333,15.988666666666663,21.732333333333333,25.585666666666672,25.026,19.572333333333336,14.668666666666669,8.295333333333334,5.726333333333333,5.411237075332349,11.965818840579711,24.140561594202907,14.184161172161174,13.96513962401898,7.31,20.9,18.72932451887056,-0.3357416429163109,61.4,12648.238147634775,37.38960480700007,-3.2393785030417845,1995,2024
38,Santa Cruz de Tenerife,17.99866666666666,17.621497641509432,17.845000000000002,18.430666666666664,19.453,20.894666666666662,21.94400000000001,22.850666666666665,23.08300000000001,22.526,20.81833333333334,19.273666666666667,18.31842688330872,18.577804347826085,21.907333333333334,22.146659340659333,20.24143639350247,1.96,5.46,3.588906450024613,5.940555126567181,58.7,3380.096948244059,28.295099332000035,-16.620662869507697,1995,2024
35,"Palmas, Las",17.971000000000004,17.678443396226417,18.03633333333333,18.657,19.624666666666663,20.943,21.788666666666664,22.675666666666668,22.977,22.565666666666665,20.85333333333333,19.219,18.307983751846383,18.773923913043483,21.811786231884053,22.136765567765572,20.261722029567427,1.88,5.3,3.5038024800376704,5.960840762632136,58.5,4068.2737904965843,27.956567100000058,-15.60531161349521,1995,2024
28,Madrid,3.722666666666667,5.154752358490566,8.112333333333334,11.189000000000002,15.738333333333332,21.52533333333333,25.243,24.843666666666664,19.653333333333336,14.203000000000005,7.696333333333333,4.5840000000000005,4.466923929098965,11.68522463768116,23.89615942028985,13.854758241758244,13.517479467056049,7.57,21.52,19.429235491190887,-0.7834017998792415,55.7,8030.398031672199,40.52170160700007,-3.767642378426471,1995,2024
15,"Coruna, A",8.601666666666668,8.85566037735849,10.26866666666667,11.727,14.034000000000004,16.700333333333333,18.832,19.44533333333333,17.862666666666666,14.978999999999996,11.248333333333337,9.275,8.912444608567204,12.012963768115949,18.343557971014494,14.699769230769231,13.510610512867322,3.85,10.84,9.43111336244729,-0.7902707540679685,55.6,7947.0024889272445,43.15384420700005,-8.579850103766056,1995,2024
08,Barcelona,4.016666666666668,5.1857429245283,7.922333333333334,10.814666666666668,15.118999999999996,19.89933333333333,22.710666666666665,22.274,17.829333333333334,13.714999999999996,7.769666666666668,4.824000000000001,4.660018463810932,11.290449275362322,21.646789855072463,13.111373626373624,12.714013506114252,6.59,18.69,16.98677139126153,-1.586867760821038,45.4,7729.729647136022,41.760116315500056,2.0307008309731724,1995,2024
37,Salamanca,4.118,5.218856132075471,7.754333333333335,10.344333333333331,14.25,19.36733333333333,22.94033333333333,22.968333333333334,18.633333333333333,13.694333333333333,7.725333333333333,4.9606666666666674,4.752123338257017,10.787655797101454,21.784659420289856,13.354772893772896,12.70550009125752,6.69,18.85,17.032536082032838,-1.5953811756777707,45.3,12351.308023789938,40.763790924000034,-6.022417740995879,1995,2024
31,Navarra,4.575000000000001,5.641332547169811,8.396666666666668,10.938666666666665,14.712666666666667,18.802333333333333,21.026,21.238,17.785,13.980666666666668,8.236666666666668,5.293666666666667,5.155727474150664,11.353797101449278,20.37232608695652,13.341216117216112,12.58873243292572,5.94,16.66,15.216598612805855,-1.7121488340095699,43.8,10390.675334382388,42.61276003500004,-1.830042410109936,1995,2024
47,Valladolid,3.846333333333333,5.131096698113209,7.906999999999999,10.661,14.734333333333332,19.60333333333334,22.43533333333333,22.371,18.124,13.438999999999998,7.542666666666666,4.569333333333334,4.496949778434269,11.105557971014491,21.49017753623189,13.039659340659345,12.569833911297678,6.62,18.59,16.99322775779762,-1.731047355637612,43.6,8109.416091319087,41.70412361100006,-4.697091012250786,1995,2024
49,Zamora,3.993333333333333,5.154622641509435,7.736,10.362333333333336,14.273666666666667,19.25466666666667,22.618999999999996,22.595333333333333,18.329,13.498666666666669,7.640666666666668,4.709,4.602765878877402,10.795322463768118,21.513960144927537,13.159875457875458,12.5537844497171,6.62,18.63,16.911194266050135,-1.7470968172181909,43.4,10557.899131022821,41.686580826500034,-5.9425946080037,1995,2024
25,Lleida,3.450999999999999,4.749799528301887,7.665333333333335,10.676999999999998,15.070333333333338,20.016,22.85033333333333,22.39166666666667,17.75466666666667,13.426333333333334,7.262333333333332,4.328,4.158899556868536,11.142561594202895,21.77154347826087,12.8211684981685,12.512047818945057,6.83,19.4,17.612643921392333,-1.7888334479902337,42.9,12169.106743573244,42.06625917800005,1.1781995144377118,1995,2024
19,Guadalajara,3.070666666666665,4.49816037735849,7.479333333333334,10.466,14.845999999999997,20.267333333333333,23.681333333333328,23.16,18.108333333333334,13.191666666666665,6.789666666666666,3.932666666666666,3.813714918759231,10.935492753623189,22.392405797101446,12.701996336996338,12.501276692827163,7.22,20.61,18.578690878342215,-1.7996045741081268,42.7,12212.892736848722,40.74142346900004,-2.5050392600436364,1995,2024
27,Lugo,5.847333333333332,6.419799528301888,8.38,10.323,13.270333333333337,17.011666666666667,19.723333333333333,20.014333333333337,17.41433333333333,13.563333333333333,8.761333333333333,6.459666666666667,6.236890694239291,10.661416666666664,18.93714855072464,13.249816849816852,12.297275050191647,5.06,14.17,12.700257856485349,-2.003606216743643,40.1,9858.92772980283,43.04075275650007,-7.447991749594156,1995,2024
