rank_tech,COD_PROVINCIA,province_name,ccaa,recommendation,tech_destination_index,index_class,rent_eur_month,mobility_score,mobility_label,transport_nodes,weighted_transport_nodes,high_speed_nodes,long_distance_nodes,medium_distance_nodes,av_ld_md_nodes,cercanias_nodes,feve_nodes,airport_nodes,nodes_per_100k,nearest_strategic_km,nearest_strategic_label,strategic_access_score,node_mass_score,node_density_score,rental_homes,rental_homes_per_1000_households,municipalities,coverage_1gbps_2024_pct,annual_mean_c,precipitation_annual_mm,temperature_comfort_score,rain_comfort_score,climate_comfort_score,rent_score_low_price,availability_score,connectivity_score,climate_score,rent_contribution,mobility_contribution,connectivity_contribution,climate_contribution,population,households,label_lat,label_lon,area_km2,year
24,04,Almería,ANDALUCÍA,Buen equilibrio general,73.29,Quintil 3 - equilibrio medio,462.43,36.1,36.1 / 100,8,17.0,0,2,5,7,0,0,1,2.25,45.11,45 km,54.89,30.7,3.27,24292,88.44,43,92.0,16.6,244.98,94.87,72.72,88.22,79.59,24.02,92.0,88.22,32.77,8.49,21.65,10.38,753920,274663,37.3239312809527,-2.1573205738666066,8779.3,2024
25,47,Valladolid,CASTILLA Y LEÓN,Buen equilibrio general,73.17,Quintil 3 - equilibrio medio,514.69,65.0,65.0 / 100,26,53.0,2,9,14,25,0,0,1,10.17,5.0,5 km,95.0,53.12,18.27,29847,138.15,39,97.05,12.57,428.09,43.59,94.2,58.77,68.31,58.25,97.05,58.77,28.13,15.29,22.84,6.91,521071,216054,41.71420090355392,-4.910766776641428,8109.4,2024
26,25,Lleida,CATALUÑA,Revisar trade-offs,72.55,Quintil 3 - equilibrio medio,463.87,47.91,47.9 / 100,49,68.0,1,1,15,17,31,0,1,15.22,51.1,51 km,48.9,58.12,27.83,25913,152.66,106,92.43,12.51,519.42,42.85,95.08,58.52,79.28,68.24,92.43,58.52,32.64,11.27,21.75,6.88,446793,169747,42.131913711447915,1.209430069653326,12169.1,2024
27,26,"Rioja, La",RIOJA (LA),Revisar trade-offs,72.06,Quintil 3 - equilibrio medio,481.28,52.23,52.2 / 100,13,27.0,0,5,7,12,0,0,1,8.37,21.42,21 km,78.58,39.71,14.86,16451,124.41,34,96.97,11.95,624.32,35.68,82.77,49.81,75.52,48.79,96.97,49.81,31.1,12.29,22.82,5.86,322490,132227,42.279328685212874,-2.5454538574297794,5046.8,2024
28,16,Cuenca,CASTILLA-LA MANCHA,Revisar trade-offs,71.88,Quintil 3 - equilibrio medio,447.59,41.54,41.5 / 100,2,4.0,1,1,0,2,0,0,0,2.03,12.49,12 km,87.51,4.55,2.85,5754,71.14,38,92.89,11.95,400.35,35.75,90.95,52.31,82.79,12.1,92.89,52.31,34.09,9.77,21.86,6.15,197139,80882,39.93877981267216,-2.2219038851736497,17140.4,2024
29,36,Pontevedra,GALICIA,Revisar trade-offs,71.42,Quintil 3 - equilibrio medio,486.59,65.94,65.9 / 100,33,67.0,3,3,26,32,0,0,1,7.1,3.97,4 km,96.03,57.82,12.44,48088,132.82,59,85.0,14.18,1329.66,64.14,0.0,44.9,74.37,54.58,85.0,44.9,30.62,15.52,20.0,5.28,944245,362056,42.364215486433736,-8.574421814045706,4492.9,2024
30,39,Cantabria,CANTABRIA,Revisar trade-offs,71.24,Quintil 3 - equilibrio medio,539.1,86.74,86.7 / 100,178,224.0,0,3,41,44,77,56,1,38.07,2.82,3 km,97.18,82.25,71.11,29444,123.82,69,96.64,9.15,812.93,0.0,60.64,18.19,63.04,48.38,96.64,18.19,25.96,20.41,22.74,2.14,588419,237799,43.1033613560993,-4.055382373315356,5323.5,2024
31,09,Burgos,CASTILLA Y LEÓN,Revisar trade-offs,71.05,Quintil 3 - equilibrio medio,503.12,69.7,69.7 / 100,42,68.0,1,2,21,24,2,15,1,19.04,5.89,6 km,94.11,58.12,35.07,16584,108.98,35,90.45,10.35,616.88,15.34,83.64,35.83,70.8,38.17,90.45,35.83,29.15,16.4,21.28,4.22,357180,152169,42.317686976941665,-3.66861749715691,14291.0,2024
32,18,Granada,ANDALUCÍA,Revisar trade-offs,70.79,Quintil 2 - equilibrio medio-bajo,510.04,53.36,53.4 / 100,11,23.0,2,3,5,10,0,0,1,2.47,11.51,12 km,88.49,36.57,3.69,39702,107.95,81,92.41,13.97,326.03,61.35,82.23,67.62,69.31,37.46,92.41,67.62,28.54,12.56,21.74,7.95,930181,367765,37.327959924114744,-3.431558843905868,12648.2,2024
33,17,Girona,CATALUÑA,Revisar trade-offs,70.73,Quintil 2 - equilibrio medio-bajo,574.2,64.95,65.0 / 100,59,86.0,2,2,21,25,33,0,1,10.63,13.07,13 km,86.93,62.85,19.13,56089,187.72,177,94.8,16.24,635.84,90.27,81.42,87.62,55.46,92.39,94.8,87.62,22.84,15.28,22.31,10.31,809266,298791,42.108200466534264,2.7611839120708113,5911.2,2024
