COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year,lon,lat
43,Tarragona,43156,Ulldecona,325.6363636363636,272.2181818181818,402.54545454545456,130.32727272727277,220,2,2024,0.43338149712939555,40.61801209250007
10,Cáceres,10067,Coria,325.421686746988,277.4096385542169,373.87951807228916,96.46987951807228,415,2,2024,-6.510312041569472,39.97838406650007
14,Córdoba,14030,Fuente Palmera,325.3333333333333,294.0,365.3333333333333,71.33333333333331,132,2,2024,-5.094601767847635,37.72181578100006
27,Lugo,27016,Chantada,325.2692307692308,269.4230769230769,372.5769230769231,103.15384615384619,260,2,2024,-7.806725229871136,42.617657069000046
06,Badajoz,06122,"Santos de Maimona, Los",325.2526315789474,270.0,388.88421052631577,118.88421052631577,95,2,2024,-6.330409390698663,38.47088800450004
25,Lleida,25245,Vilaller,325.0,278.0,415.0,137.0,10,1,2024,0.7495186211515186,42.53521386600005
40,Segovia,40141,Navalmanzano,325.0,282.0,368.0,86.0,17,1,2024,-4.254245318278148,41.21856674900005
44,Teruel,44049,Calaceite,325.0,252.0,745.0,493.0,13,1,2024,0.18637265919778762,41.01763054400007
43,Tarragona,43022,Batea,325.0,241.0,376.0,135.0,10,1,2024,0.29212851940262835,41.10637442050003
42,Soria,42113,Medinaceli,325.0,264.0,380.0,116.0,21,1,2024,-2.4347705860690207,41.16323327200004
14,Córdoba,14010,Benamejí,325.0,222.0,433.0,211.0,14,1,2024,-4.529282179126081,37.244508626000055
32,Ourense,32073,Rubiá,325.0,213.0,551.0,338.0,12,1,2024,-6.891323744518756,42.46537985850006
23,Jaén,23056,Lopera,325.0,257.0,443.5,186.5,20,2,2024,-4.227323730319172,37.962083902000046
19,Guadalajara,19060,Campillo de Ranas,325.0,287.0,500.0,213.0,12,1,2024,-3.31339551702423,41.06426811400004
11,Cádiz,11034,Setenil de las Bodegas,325.0,231.0,455.0,224.0,10,1,2024,-5.189430490169597,36.87949752900005
50,Zaragoza,50230,Sádaba,324.86486486486484,275.64864864864865,376.13513513513516,100.48648648648651,37,2,2024,-1.3125100026295649,42.27359525000006
06,Badajoz,06149,Villafranca de los Barros,324.5,300.0,358.53333333333336,58.53333333333336,210,2,2024,-6.336102710790939,38.588673203500036
45,Toledo,45142,Quintanar de la Orden,324.09022556390977,282.7268170426065,376.2706766917293,93.5438596491228,399,2,2024,-3.022941920991861,39.59533665650005
21,Huelva,21018,"Campillo, El",324.0,225.0,356.0,131.0,10,1,2024,-6.620837568391772,37.688146495500064
32,Ourense,32055,Paderne de Allariz,324.0,250.0,488.0,238.0,24,1,2024,-7.747171343660573,42.27203316200004
27,Lugo,27005,Barreiros,323.88,279.5,404.74,125.24000000000001,100,2,2024,-7.248249311848149,43.51427451650005
45,Toledo,45028,Calera y Chozas,323.87628865979383,237.0,419.3814432989691,182.3814432989691,97,2,2024,-5.02479064686638,39.86854196400006
33,Asturias,33023,"Franco, El",323.6223776223776,272.7972027972028,390.46853146853147,117.6713286713287,143,2,2024,-6.833253203167477,43.507636618500044
25,Lleida,25034,Artesa de Segre,323.50961538461536,274.59134615384613,380.40865384615387,105.81730769230774,208,2,2024,1.0983767623396365,41.93829303250004
24,León,24098,Matallana de Torío,323.0,228.0,425.0,197.0,16,1,2024,-5.520057940128715,42.84904896400005
24,León,24209,Villafranca del Bierzo,323.0,281.0,371.0,90.0,70,1,2024,-6.7940083660311235,42.696143584000055
15,"Coruña, A",15029,Coristanco,322.85714285714283,254.85714285714286,410.85714285714283,155.99999999999997,49,2,2024,-8.757562829230213,43.15840146250005
14,Córdoba,14058,Rute,322.7959183673469,231.89795918367346,366.83673469387753,134.93877551020407,98,2,2024,-4.352215880953642,37.34743781550003
33,Asturias,33074,Vegadeo,322.57055214723925,249.43558282208588,391.0920245398773,141.6564417177914,163,2,2024,-6.9999969624063505,43.41650688450005
15,"Coruña, A",15046,Melide,322.4342105263158,250.0,390.13157894736844,140.13157894736844,380,2,2024,-8.029406704964837,42.93330674050006
10,Cáceres,10021,Arroyo de la Luz,322.2368421052632,258.55263157894734,402.7105263157895,144.15789473684214,38,2,2024,-6.585120029705028,39.52527816750006
46,Valencia/Valéncia,46079,Calles,322.0,260.0,355.0,95.0,17,1,2024,-0.9419363016334787,39.73631004150005
12,Castellón/Castelló,12095,Ribesalbes,322.0,250.0,378.0,128.0,14,1,2024,-0.2829664721036186,40.03166974900006
37,Salamanca,37322,Terradillos,322.0,258.0,380.0,122.0,98,1,2024,-5.576481944365018,40.84977709200007
46,Valencia/Valéncia,46149,Losa del Obispo,322.0,250.0,364.0,114.0,14,1,2024,-0.862704716379276,39.70430749900004
36,Pontevedra,36024,Lalín,321.7469879518072,268.66064257028114,375.96787148594376,107.30722891566262,996,2,2024,-8.09576181060486,42.65710658900005
11,Cádiz,11024,Olvera,321.6,276.6,455.0,178.39999999999998,40,2,2024,-5.329227727670363,36.95286572800006
30,Murcia,30032,Pliego,321.50943396226415,276.79245283018867,375.47169811320754,98.67924528301887,53,2,2024,-1.5021477934210283,37.97787361600004
18,Granada,18177,Sorvilán,321.0,270.0,381.0,111.0,10,1,2024,-3.2605766542681573,36.792384358500044
14,Córdoba,14041,Montemayor,321.0,242.0,451.0,209.0,13,1,2024,-4.657964422582331,37.65372660750006
46,Valencia/Valéncia,46072,Bocairent,320.57142857142856,252.62857142857143,379.77142857142854,127.14285714285711,70,2,2024,-0.6108045231801635,38.74168767700007
06,Badajoz,06067,Higuera la Real,320.4347826086956,284.4782608695652,328.69565217391306,44.21739130434787,23,2,2024,-6.735352274583324,38.15731336250005
45,Toledo,45062,Escalonilla,320.0,241.0,378.0,137.0,14,1,2024,-4.352801985081991,39.917457589000065
21,Huelva,21006,Alosno,320.0,230.0,450.0,220.0,19,1,2024,-7.098879823864875,37.560581057000064
