COD_PROVINCIA,PROVINCIA,COD_POSTAL,NOMBRE_MUNICIPIO,median_rent_eur,p25_rent_eur,p75_rent_eur,iqr_rent_eur,rental_homes,dwelling_types,year
08,Barcelona,08134,Figaró-Montmany,579.0,386.15686274509807,770.8039215686274,384.64705882352933,102,2,2024
46,Valencia/Valéncia,46117,Emperador,579.0,464.0,634.0,170.0,35,1,2024
03,Alicante,03090,Mutxamel,578.0031282586027,462.4118873826903,718.9843587069864,256.57247132429615,959,2,2024
08,Barcelona,08098,Sant Salvador de Guardiola,578.0,468.0,707.0,239.0,58,1,2024
48,Bizkaia,48034,Ermua,578.0,525.0,630.0,105.0,322,1,2024
08,Barcelona,08041,Canovelles,577.3259452411995,463.27640156453714,696.0756192959583,232.79921773142115,767,2,2024
08,Barcelona,08220,Sant Julià de Vilatorta,577.0331491712707,457.121546961326,697.2486187845304,240.12707182320446,181,2,2024
20,Gipuzkoa,20017,Azkoitia,577.0,501.0,632.0,131.0,531,1,2024
08,Barcelona,08246,Santa Eugènia de Berga,576.9811320754717,491.1509433962264,669.0754716981132,177.92452830188682,106,2,2024
08,Barcelona,08110,Malgrat de Mar,576.6043689320388,490.05582524271847,692.497572815534,202.44174757281553,1236,2,2024
43,Tarragona,43148,Tarragona,576.464846019756,457.0177222545032,713.8541545613016,256.8364323067984,10326,2,2024
17,Girona,17209,Vall-llobrega,576.0,400.0,825.0,425.0,14,1,2024
03,Alicante,03063,Dénia,575.9135151890887,455.14259144451336,734.2839429634222,279.14135151890883,3226,2,2024
17,Girona,17202,Tossa de Mar,575.7994923857868,481.6700507614213,686.7182741116751,205.0482233502538,394,2,2024
17,Girona,17006,Alp,575.1702127659574,438.7659574468085,751.2553191489362,312.4893617021277,141,2,2024
18,Granada,18149,Otura,575.0,431.44642857142856,752.9107142857143,321.4642857142858,168,2,2024
31,Navarra,31903,Berriozar,575.0,499.0,658.0,159.0,375,1,2024
08,Barcelona,08162,"Hostalets de Pierola, Els",574.9304812834224,465.24064171122996,708.8288770053476,243.58823529411768,187,2,2024
07,"Balears, Illes",07044,"Pobla, Sa",574.612426035503,434.03846153846155,711.0029585798817,276.96449704142015,676,2,2024
48,Bizkaia,48086,Sopuerta,574.1754385964912,448.5263157894737,647.1052631578947,198.57894736842098,57,2,2024
29,Málaga,29094,Vélez-Málaga,574.0809476801579,455.88548864758144,721.3622902270483,265.4768015794669,3039,2,2024
25,Lleida,25023,Alpicat,573.939393939394,437.8121212121212,713.5636363636364,275.7515151515152,165,2,2024
46,Valencia/Valéncia,46066,Benirredrà,573.8181818181819,385.45454545454544,670.2727272727273,284.8181818181818,22,2,2024
17,Girona,17187,"Saus, Camallera i Llampaies",573.7037037037037,413.9259259259259,688.4814814814815,274.5555555555556,54,2,2024
43,Tarragona,43111,"Pobla de Montornès, La",573.1898734177215,474.43037974683546,651.7215189873418,177.29113924050637,158,2,2024
48,Bizkaia,48090,Balmaseda,573.0,515.0,630.0,115.0,260,1,2024
48,Bizkaia,48068,Mundaka,573.0,529.0,639.0,110.0,38,1,2024
40,Segovia,40904,Navas de Riofrío,573.0,402.0,846.0,444.0,18,1,2024
41,Sevilla,41044,Gelves,572.5217391304348,461.69565217391306,711.695652173913,249.99999999999994,391,2,2024
43,Tarragona,43050,Creixell,572.3387622149837,450.7947882736156,669.1465798045602,218.35179153094464,307,2,2024
12,Castellón/Castelló,12028,Benicasim/Benicàssim,572.3048327137546,438.36802973977694,715.5092936802974,277.1412639405205,1345,2,2024
20,Gipuzkoa,20052,Legorreta,572.0,501.0,622.0,121.0,63,1,2024
07,"Balears, Illes",07035,Maria de la Salut,571.9207920792079,430.2178217821782,776.7227722772277,346.5049504950495,101,2,2024
07,"Balears, Illes",07030,Llubí,571.3818181818182,417.0181818181818,883.2363636363636,466.21818181818185,110,2,2024
17,Girona,17141,Puigcerdà,570.9,456.0,724.5,268.5,760,2,2024
17,Girona,17062,"Escala, L'",570.4510108864697,470.45101088646965,685.4043545878693,214.95334370139966,643,2,2024
36,Pontevedra,36035,Nigrán,570.223880597015,450.0,745.8656716417911,295.8656716417911,804,2,2024
29,Málaga,29073,Monda,570.2020202020202,414.19191919191917,741.5151515151515,327.32323232323233,99,2,2024
28,Madrid,28101,Olmeda de las Fuentes,570.0,412.0,750.0,338.0,20,1,2024
38,Santa Cruz de Tenerife,38040,Santiago del Teide,569.9570815450644,471.90557939914163,700.4034334763949,228.49785407725324,699,2,2024
28,Madrid,28004,"Álamo, El",569.0225694444445,466.2326388888889,697.3958333333334,231.16319444444446,576,2,2024
08,Barcelona,08085,Font-rubí,569.0,380.0,750.0,370.0,40,1,2024
08,Barcelona,08306,Vilalba Sasserra,569.0,452.0,671.0,219.0,68,2,2024
20,Gipuzkoa,20005,Alegia,569.0,531.0,602.0,71.0,106,1,2024
28,Madrid,28013,Aranjuez,568.3633841886269,464.5376791493296,679.6375404530744,215.09986130374477,4326,2,2024
08,Barcelona,08286,"Torre de Claramunt, La",568.2796610169491,439.271186440678,672.7881355932203,233.51694915254234,118,2,2024
48,Bizkaia,48094,Igorre,568.0,515.0,618.0,103.0,149,1,2024
20,Gipuzkoa,20059,Oñati,567.9595687331537,500.7978436657682,653.0512129380054,152.2533692722372,371,2,2024
04,Almería,04072,Partaloa,567.0,500.0,909.0,409.0,12,1,2024
28,Madrid,28038,Cercedilla,566.828793774319,459.28793774319064,748.7879377431907,289.50000000000006,514,2,2024
28,Madrid,28085,Miraflores de la Sierra,566.3497363796133,443.96133567662565,745.5536028119508,301.59226713532513,569,2,2024
17,Girona,17015,Banyoles,566.2593457943925,465.30782710280374,681.2920560747664,215.98422897196264,1712,2,2024
08,Barcelona,08061,Castellgalí,566.065934065934,483.2307692307692,683.8681318681319,200.63736263736263,91,2,2024
48,Bizkaia,48042,Gordexola,566.0,491.0,602.0,111.0,25,1,2024
46,Valencia/Valéncia,46244,Torrent,565.8020403733449,447.5035815064033,708.816366398958,261.31278489255476,4607,2,2024
01,Araba/Álava,01002,Amurrio,565.6945244956772,504.6743515850144,637.1613832853026,132.48703170028818,347,2,2024
17,Girona,17044,Cassà de la Selva,565.0975292587776,437.21196358907673,684.2730819245774,247.06111833550062,769,2,2024
08,Barcelona,08014,Aiguafreda,564.9090909090909,439.6,714.290909090909,274.69090909090903,275,2,2024
35,"Palmas, Las",35014,"Oliva, La",564.6973333333333,450.0,733.6126666666667,283.61266666666666,1500,2,2024
31,Navarra,31905,Beriáin,564.6666666666666,461.80392156862746,636.4313725490196,174.6274509803921,102,2,2024
43,Tarragona,43028,"Bisbal del Penedès, La",563.8620689655172,447.6551724137931,730.4827586206897,282.82758620689657,145,2,2024
07,"Balears, Illes",07015,Ciutadella de Menorca,563.8014527845037,462.77239709443097,697.7070217917676,234.93462469733663,1652,2,2024
38,Santa Cruz de Tenerife,38006,Arona,563.7878048780487,451.65365853658534,713.780487804878,262.1268292682927,5740,2,2024
47,Valladolid,47010,Arroyo de la Encomienda,563.5193075898802,478.9034620505992,643.0386151797603,164.1351531291611,1502,2,2024
03,Alicante,03094,"Nucia, la",562.8294573643411,463.5658914728682,746.4186046511628,282.8527131782946,774,2,2024
08,Barcelona,08034,Calders,562.58,420.56,659.24,238.68,50,2,2024
29,Málaga,29080,Pizarra,562.5757575757576,442.5656565656566,778.8282828282828,336.2626262626262,99,2,2024
19,Guadalajara,19046,Azuqueca de Henares,562.2510793756227,471.14314181335106,647.9319163068748,176.7887744935237,3011,2,2024
43,Tarragona,43131,Roda de Barà,562.2222222222222,456.2638888888889,698.125,241.8611111111111,576,2,2024
41,Sevilla,41029,Castilleja de la Cuesta,562.0917431192661,464.42660550458714,647.651376146789,183.2247706422018,654,2,2024
45,Toledo,45123,Ontígola,561.3574660633484,479.710407239819,657.3710407239819,177.66063348416287,221,2,2024
48,Bizkaia,48059,Mañaria,561.0,470.0,608.0,138.0,12,1,2024
47,Valladolid,47007,Aldeamayor de San Martín,561.0,473.0,648.0,175.0,172,1,2024
08,Barcelona,08109,Lluçà,561.0,392.0,642.0,250.0,14,1,2024
35,"Palmas, Las",35029,Tinajo,560.4814814814815,448.85925925925926,756.2222222222222,307.3629629629629,270,2,2024
46,Valencia/Valéncia,46178,Náquera,560.4028776978417,440.2014388489209,692.863309352518,252.66187050359707,556,2,2024
28,Madrid,28166,Valverde de Alcalá,560.0,450.0,746.0,296.0,22,1,2024
48,Bizkaia,48067,Muxika,560.0,426.0,1101.0,675.0,12,1,2024
17,Girona,17183,Sant Aniol de Finestres,560.0,475.0,654.0,179.0,17,1,2024
43,Tarragona,43036,Cabra del Camp,560.0,435.0,656.0,221.0,41,1,2024
34,Palencia,34079,Grijota,559.7027027027027,450.52702702702703,625.918918918919,175.39189189189193,74,2,2024
20,Gipuzkoa,20032,Elgoibar,559.6814580031696,501.2852614896989,623.7511885895404,122.46592709984156,631,2,2024
07,"Balears, Illes",07064,"Castell, Es",559.5375722543353,451.85260115606934,690.4696531791908,238.61705202312146,692,2,2024
19,Guadalajara,19225,Pozo de Guadalajara,559.5054945054945,487.5274725274725,654.9560439560439,167.4285714285714,91,2,2024
20,Gipuzkoa,20047,Itsasondo,559.0,501.0,657.0,156.0,30,1,2024
08,Barcelona,08283,Tona,558.984126984127,452.2804232804233,676.2328042328043,223.95238095238096,567,2,2024
08,Barcelona,08223,Sant Llorenç Savall,558.9349112426036,443.0177514792899,667.9289940828403,224.91124260355036,169,2,2024
46,Valencia/Valéncia,46163,Massalfassar,558.5987261146497,411.2738853503185,708.108280254777,296.8343949044585,157,2,2024
28,Madrid,28040,Ciempozuelos,558.2249357326479,468.30462724935734,655.9575835475579,187.65295629820054,1556,2,2024
38,Santa Cruz de Tenerife,38017,Granadilla de Abona,557.8355966483675,447.3325628431089,708.3415197919676,261.00895694885867,3461,2,2024
38,Santa Cruz de Tenerife,38019,Guía de Isora,557.8098098098098,449.6676676676677,698.0850850850851,248.41741741741743,999,2,2024
46,Valencia/Valéncia,46111,Chiva,557.7538461538461,416.53846153846155,735.7051282051282,319.16666666666663,780,2,2024
46,Valencia/Valéncia,46169,Mislata,557.5433127944907,449.1844871330192,701.8419717288873,252.65748459586808,2759,2,2024
08,Barcelona,08251,Santa Margarida i els Monjos,557.4976744186047,442.57674418604654,653.4232558139535,210.84651162790692,430,2,2024
17,Girona,17233,Vilobí d'Onyar,556.9230769230769,419.1025641025641,659.6410256410256,240.53846153846155,156,2,2024
01,Araba/Álava,01058,Legutio,556.8275862068965,477.37931034482756,644.8620689655172,167.48275862068965,58,2,2024
17,Girona,17063,Espinelves,556.7586206896551,411.82758620689657,650.7241379310345,238.89655172413796,29,2,2024
38,Santa Cruz de Tenerife,38005,Arico,556.4927536231884,457.14009661835746,704.0917874396135,246.95169082125608,414,2,2024
04,Almería,04031,Cantoria,556.0,300.0,749.0,449.0,40,1,2024
43,Tarragona,43163,"Vendrell, El",555.5307599517491,457.5090470446321,655.7466827503016,198.2376357056695,3316,2,2024
03,Alicante,03042,"Benitachell/Poble Nou de Benitatxell, el",555.1724137931035,427.58620689655174,774.5862068965517,347.0,203,2,2024
27,Lugo,27039,Outeiro de Rei,555.0,347.0,724.0,377.0,58,1,2024
08,Barcelona,08192,Santpedor,554.4836272040302,459.1813602015113,641.176322418136,181.99496221662469,397,2,2024
45,Toledo,45122,Olías del Rey,553.8645161290323,427.6483870967742,696.8032258064516,269.1548387096774,310,2,2024
03,Alicante,03031,Benidorm,553.1313605761703,459.0020353843745,684.4335368717708,225.4315014873963,6387,2,2024
50,Zaragoza,50288,Villanueva de Gállego,552.5051194539249,460.8600682593857,704.2184300341297,243.35836177474403,293,2,2024
19,Guadalajara,19171,Marchamalo,552.4552845528456,465.0406504065041,639.4065040650406,174.36585365853654,492,2,2024
20,Gipuzkoa,20014,Asteasu,552.08,490.12,663.3733333333333,173.25333333333333,75,2,2024
20,Gipuzkoa,20080,Zumarraga,552.0,501.0,602.0,101.0,493,1,2024
48,Bizkaia,48057,Lekeitio,552.0,500.0,628.0,128.0,140,1,2024
48,Bizkaia,48095,Zaldibar,552.0,515.0,607.0,92.0,83,1,2024
48,Bizkaia,48058,Mallabia,552.0,513.0,617.0,104.0,20,1,2024
20,Gipuzkoa,20022,Berastegi,552.0,473.0,689.0,216.0,16,1,2024
20,Gipuzkoa,20051,Legazpi,552.0,501.0,602.0,101.0,264,1,2024
20,Gipuzkoa,20901,Mendaro,552.0,471.0,620.0,149.0,85,1,2024
20,Gipuzkoa,20077,Urretxu,552.0,501.0,619.0,118.0,260,1,2024
20,Gipuzkoa,20070,Segura,552.0,490.0,651.0,161.0,33,1,2024
43,Tarragona,43030,Bonastre,552.0,423.0,598.0,175.0,22,1,2024
19,Guadalajara,19117,Fontanar,551.6666666666666,458.4,653.8555555555556,195.45555555555563,90,2,2024
46,Valencia/Valéncia,46078,Burjassot,551.3344827586207,438.3103448275862,686.1793103448276,247.8689655172414,2610,2,2024
08,Barcelona,08154,Pacs del Penedès,551.0,441.0,1008.0,567.0,22,1,2024
20,Gipuzkoa,20058,Olaberria,551.0,501.0,614.0,113.0,36,1,2024
45,Toledo,45127,Palomeque,551.0,395.0,740.0,345.0,14,1,2024
50,Zaragoza,50297,Zaragoza,550.8817532193177,449.50401381413377,653.6556018884215,204.15158807428776,54437,2,2024
50,Zaragoza,50163,María de Huerva,550.81,476.56,624.75,148.19,300,2,2024
17,Girona,17011,"Armentera, L'",550.0,419.0,699.0,280.0,64,1,2024
20,Gipuzkoa,20050,Leaburu,550.0,504.0,591.0,87.0,12,1,2024
17,Girona,17196,Terrades,550.0,358.0,642.0,284.0,11,1,2024
17,Girona,17098,Maià de Montcal,550.0,342.0,670.0,328.0,17,1,2024
17,Girona,17109,Montagut i Oix,550.0,357.0,751.0,394.0,33,1,2024
29,Málaga,29033,Canillas de Aceituno,550.0,403.0,668.0,265.0,23,1,2024
09,Burgos,09315,Revillarruz,550.0,470.0,600.0,130.0,19,1,2024
17,Girona,17172,Sant Martí de Llémena,550.0,300.0,1000.0,700.0,23,1,2024
40,Segovia,40194,Segovia,550.0,447.7894736842105,682.8070175438596,235.0175438596491,4446,2,2024
40,Segovia,40207,Trescasas,550.0,456.0,692.0,236.0,28,1,2024
43,Tarragona,43042,Castellvell del Camp,550.0,400.0,1000.0,600.0,15,1,2024
17,Girona,17208,"Vall de Bianya, La",550.0,376.0,749.0,373.0,65,1,2024
43,Tarragona,43002,Albinyana,550.0,450.0,675.0,225.0,86,1,2024
17,Girona,17023,Blanes,549.2587811468028,450.3725607925548,641.7802461723206,191.40768537976584,3331,2,2024
41,Sevilla,41094,Umbrete,548.7027027027027,481.72972972972974,674.5675675675676,192.83783783783787,185,2,2024
48,Bizkaia,48075,Orozko,548.390625,449.984375,637.703125,187.71875,64,2,2024
46,Valencia/Valéncia,46014,Albuixech,548.3762376237623,438.8514851485148,674.7128712871287,235.86138613861385,202,2,2024
45,Toledo,45205,Yuncos,548.1792452830189,439.39622641509436,630.7452830188679,191.34905660377353,636,2,2024
46,Valencia/Valéncia,46186,Paiporta,548.0309423347398,445.943741209564,655.0014064697609,209.05766526019693,1422,2,2024
17,Girona,17159,Sant Feliu de Buixalleu,548.0,492.0,750.0,258.0,35,1,2024
08,Barcelona,08278,Taradell,547.6504424778761,444.36504424778764,692.1349557522124,247.76991150442473,452,2,2024
29,Málaga,29005,Algarrobo,547.2490706319703,456.92193308550185,694.8810408921933,237.9591078066914,269,2,2024
03,Alicante,03078,Hondón de los Frailes,547.0,412.0,782.0,370.0,24,1,2024
17,Girona,17067,Flaçà,546.9387755102041,430.51020408163265,668.3673469387755,237.8571428571429,98,2,2024
47,Valladolid,47133,Renedo de Esgueva,545.96875,454.6875,648.5,193.8125,64,2,2024
04,Almería,04013,Almería,545.1386785960083,421.5326909841707,660.8668272539574,239.33413626978665,8718,2,2024
46,Valencia/Valéncia,46193,Picanya,545.0174825174826,439.7307692307692,713.8601398601398,274.1293706293706,572,2,2024
43,Tarragona,43090,"Montmell, El",545.0,400.0,673.0,273.0,46,1,2024
43,Tarragona,43074,Llorenç del Penedès,544.6666666666666,431.48148148148147,647.7407407407408,216.2592592592593,108,2,2024
03,Alicante,03121,Santa Pola,544.5043798985707,443.23835869064084,645.9585062240664,202.72014753342552,2169,2,2024
46,Valencia/Valéncia,46009,Albalat dels Sorells,544.2828947368421,445.94736842105266,671.4144736842105,225.46710526315786,152,2,2024
29,Málaga,29011,Almogía,544.0,383.0,662.0,279.0,34,1,2024
40,Segovia,40113,"Losa, La",544.0,430.0,729.0,299.0,22,1,2024
17,Girona,17074,Fortià,544.0,444.0,756.0,312.0,16,1,2024
43,Tarragona,43153,Torredembarra,543.9017912291538,453.47621988882025,659.2075355157505,205.7313156269302,1619,2,2024
28,Madrid,28122,Ribatejada,543.8666666666667,425.8,683.6,257.8,30,2,2024
36,Pontevedra,36057,Vigo,543.6912903506483,441.3912816496998,666.3717480205343,224.98046637083445,22986,2,2024
38,Santa Cruz de Tenerife,38023,San Cristóbal de La Laguna,543.3849337748344,426.41004415011037,681.4627483443709,255.0527041942605,10872,2,2024
43,Tarragona,43092,Mont-roig del Camp,543.0917992656059,446.2105263157895,644.0330477356181,197.8225214198286,817,2,2024
48,Bizkaia,48060,Markina-Xemein,543.0,479.0,599.0,120.0,149,1,2024
08,Barcelona,08067,Centelles,543.0,438.8888888888889,649.6666666666666,210.77777777777771,585,2,2024
07,"Balears, Illes",07037,"Mercadal, Es",542.9141414141415,449.0656565656566,679.8434343434343,230.77777777777771,396,2,2024
07,"Balears, Illes",07033,Manacor,542.8710266715382,412.0789185239313,719.7237851662404,307.6448666423091,2737,2,2024
17,Girona,17092,Llançà,542.7354368932039,420.32766990291265,639.1650485436893,218.83737864077665,412,2,2024
35,"Palmas, Las",35001,Agaete,542.6720647773279,400.0,684.663967611336,284.66396761133603,247,2,2024
28,Madrid,28156,Valdeavero,542.3831775700935,442.85046728971963,656.6915887850467,213.84112149532712,107,2,2024
14,Córdoba,14021,Córdoba,542.3827414147344,449.30261226885824,680.5409451130026,231.2383328441444,13628,2,2024
17,Girona,17016,Bàscara,542.3529411764706,422.94117647058823,668.3529411764706,245.41176470588238,68,2,2024
17,Girona,17081,Gualta,542.0,250.0,1005.0,755.0,10,1,2024
29,Málaga,29042,Coín,541.6812609457093,422.0910683012259,700.4518388791594,278.36077057793347,571,2,2024
17,Girona,17190,Serinyà,541.5,417.5,644.0,226.5,56,2,2024
19,Guadalajara,19300,Valdeaveruelo,541.3461538461538,391.65384615384613,738.9615384615385,347.3076923076923,52,2,2024
39,Cantabria,39052,Piélagos,540.9180327868852,448.87540983606556,676.1377049180328,227.26229508196724,1220,2,2024
43,Tarragona,43905,Salou,540.6839273705447,441.85944855413584,658.567585743107,216.70813718897114,2974,2,2024
46,Valencia/Valéncia,46007,Albal,540.3522867737948,443.655129789864,641.7058096415327,198.0506798516687,809,2,2024
25,Lleida,25179,Prullans,540.0,429.0,629.0,200.0,12,1,2024
