CODIGO,DESCRIPCION,mode,COD_PROVINCIA,POBLACION,node_weight,source,LATITUD,LONGITUD
15205,ABLAÑA,Cercanias,33,MIERES,1.0,Renfe Data,43.2676032,-5.8057926
15206,LA PEREDA-RIOSA,Cercanias,33,MIERES,1.0,Renfe Data,43.2770867,-5.812235
15207,OLLONIEGO,Cercanias,33,OVIEDO,1.0,Renfe Data,43.2961226,-5.8188502
15208,SOTO DE REY,Cercanias,33,RIBERA DE ARRIBA,1.0,Renfe Data,43.3064094,-5.8558072
15209,LAS SEGADAS,Cercanias,33,OVIEDO,1.0,Renfe Data,43.3132419,-5.8691978
15210,EL CALEYO,Cercanias,33,OVIEDO,1.0,Renfe Data,43.3290466,-5.8733323
15211,OVIEDO,Cercanias,33,OVIEDO,1.0,Renfe Data,43.3663577,-5.854838
15212,LUGONES,Cercanias,33,SIERO,1.0,Renfe Data,43.404272,-5.8117818
15217,LA CORREDORIA,Cercanias,33,OVIEDO,1.0,Renfe Data,43.388108,-5.8272527
15218,LLAMAQUIQUE,Cercanias,33,OVIEDO,1.0,Renfe Data,43.3588282,-5.8573201
15300,LUGO DE LLANERA,Cercanias,33,LLANERA,1.0,Renfe Data,43.4423322,-5.8158932
15301,VILLABONA DE ASTURIAS,Cercanias,33,LLANERA,1.0,Renfe Data,43.4615187,-5.8263463
15302,SERÍN,Cercanias,33,GIJÓN,1.0,Renfe Data,43.504905,-5.7818821
15303,MONTEANA,Cercanias,33,GIJÓN,1.0,Renfe Data,43.5208475,-5.746358
15305,VILLABONA-TABLADIELLO,Cercanias,33,LLANERA,1.0,Renfe Data,43.4741624,-5.8000538
15400,VERIÑA,Cercanias,33,GIJÓN,1.0,Renfe Data,43.5415755,-5.722797
15401,CALZADA DE ASTURIAS,Cercanias,33,GIJÓN,1.0,Renfe Data,43.5353848,-5.6971507
15410,GIJÓN-SANZ CRESPO,Cercanias,33,GIJÓN,1.0,Renfe Data,43.5377329,-5.6758089
