stop_a_id,stop_b_id,stop_a,stop_b,distance_km,services,route_count,route_ids,source
87302,87810,NIMES,Valence,137.8,AVE INT,4,"0430787303AV016, 7180187303AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87088,87173,Narbonne,Montpellier,84.4,AVE INT,8,"0430787089AV016, 0430787303AV016, 6000087089AV016, 7180187303AV016, 8708904307AV016, 8708960000AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
87088,87374,Narbonne,Perpignan,55.9,AVE INT,8,"0430787089AV016, 0430787303AV016, 6000087089AV016, 7180187303AV016, 8708904307AV016, 8708960000AV016, 8730304307AV016, 8730371801AV016",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
22100,31400,Ourense,Santiago de Compostela,79.8,"AVANT, AVE, AVLO",9,"0822317000AV006, 0822317000LC112, 1700008223AV006, 1700008223LC112, 1700031412AV006, 1700031412LC112, 2210031412AV008, 3141217000AV006, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
22100,99159,Ourense,Santiago-Turistico,79.8,AVANT,1,3141222100AV008,Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
15211,15410,Oviedo/Uviéu,Gijón/Xixón,23.9,"AVE, AVLO",8,"1510015410LC112, 1541017000AV006, 1541017000LC112, 1541017000LCLC, 1541065300AV006, 1700015410AV006, 1700015410LC112, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
14100,15100,Palencia,Leon,107.7,"AVE, AVLO",16,"0321615100AV006, 1060015100AV006, 1510003216AV006, 1510010600AV006, 1510017000AV006, 1510017000LC112, 1510060911AV006, 1541017000AV006, 1541017000LC112, 1541065300AV006, 1700015100AV006, 1700015100LC112, 1700015410AV006, 1700015410LC112, 6091115100AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
15122,15203,Pola De Lena/La Pola,Mieres Puente,10.9,AVLO,3,"1510015410LC112, 1541017000LC112, 1700015410LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
23004,31400,Pontevedra,Santiago de Compostela,50.5,AVE,1,0822317000AV006,Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
23004,23008,Pontevedra,Vilagarcia de Arousa,22.6,"AVE, AVLO",3,"0822317000LC112, 1700008223AV006, 1700008223LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02002,02003,Puente Genil-Herrera,Antequera-Santa Ana,33.3,"AVANT, AVE, AVLO",11,"0500051003AV008, 5100305000AV008, 5100354413AV008, 5441351003AV008, 5441360000AV006, 5441360000LC112, 5441371801AV006, 6000005000AV006, 6000054413AV006, 6000054413LC112, 7180154413AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
02002,50500,Puente Genil-Herrera,Cordoba,59.0,"AVANT, AVE, AVLO",11,"0500051003AV008, 5100305000AV008, 5100354413AV008, 5441351003AV008, 5441360000AV006, 5441360000LC112, 5441371801AV006, 6000005000AV006, 6000054413AV006, 6000054413LC112, 7180154413AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37300,50500,Puertollano,Cordoba,107.1,AVE,9,"0321651003AV006, 0500071801AV006, 5100303216AV006, 5100360000AV006, 5100371801AV006, 6000051003AV006, 6000054413AV006, 7180105000AV006, 7180151003AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
37300,37704,Puertollano,Villanueva de Cordoba-Los Pedroches,62.8,"AVE, AVLO",5,"5100360000LC112, 5441360000AV006, 5441360000LC112, 6000051003LC112, 6000054413LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
03213,03216,Requena Utiel,Valencia Joaquin Sorolla,64.3,"AVANT, AVE, AVLO",10,"0321303216AV008, 0321603213AV008, 0321615100AV006, 0321617000AV006, 0321617000LC112, 1510003216AV006, 1700003216AV006, 1700003216LC112, 6000065300AV006, 6530060000AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
65200,65300,Sagunt/Sagunto,Castelló,39.5,AVE,2,"1541065300AV006, 6530015410AV006",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08247,08251,Sanabria Alta Velocidad,A Gudiña-Porta de Galicia,47.3,AVLO,6,"0822317000LC112, 1700008223LC112, 1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
08247,30200,Sanabria Alta Velocidad,Zamora,90.1,AVLO,6,"0822317000LC112, 1700008223LC112, 1700022100LC112, 1700031412LC112, 2210017000LC112, 3141217000LC112",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
31400,31412,Santiago de Compostela,A Coruña,54.3,"AVANT, AVE, AVLO",5,"1700031412AV006, 1700031412LC112, 3141217000AV006, 3141217000LC112, 3141222100AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
31400,99159,Santiago de Compostela,Santiago-Turistico,0.0,AVANT,2,"2210031412AV008, 3141222100AV008",Esquema GTFS: tramos entre paradas consecutivas; no es geometria ferroviaria real
