COD_PROVINCIA,PROVINCIA,year,rental_homes,municipalities,municipal_rent_q25,municipal_rent_q75,rent_eur_month,municipal_spread_eur,province_name,baseline_year,rent_index
12,Castellón/Castelló,2021,29164,57,261.7647058823529,342.0,369.6332464682485,80.23529411764707,Castellón/Castelló,2019,106.54097148447815
12,Castellón/Castelló,2022,30507,57,275.2,350.0,391.04156423116007,74.80000000000001,Castellón/Castelló,2019,112.71158247280799
12,Castellón/Castelló,2023,32667,60,289.46503496503493,379.045,411.3967612575382,89.57996503496508,Castellón/Castelló,2019,118.57864796723877
12,Castellón/Castelló,2024,33810,63,300.0,399.2807094732725,444.4307009760426,99.28070947327251,Castellón/Castelló,2019,128.10016169252395
13,Ciudad Real,2019,10845,33,257.8655462184874,315.0,333.5505763024435,57.134453781512605,Ciudad Real,2019,100.00017277842707
13,Ciudad Real,2020,11773,36,268.3363657300783,314.1154560824949,339.98955236558226,45.77909035241663,Ciudad Real,2019,101.93061081264645
13,Ciudad Real,2021,12426,37,277.6649214659686,322.4375,352.20787059391597,44.772578534031425,Ciudad Real,2019,105.59372525675789
13,Ciudad Real,2022,13022,36,284.83413461538464,330.88335945663533,357.18368914145293,46.04922484125069,Ciudad Real,2019,107.08550116667755
13,Ciudad Real,2023,14012,37,290.84705882352944,345.1117318435754,373.0883528404225,54.26467302004596,Ciudad Real,2019,111.85380088155372
13,Ciudad Real,2024,14877,39,292.38235294117646,350.0,393.4533172010486,57.617647058823536,Ciudad Real,2019,117.95932160127376
14,Córdoba,2019,14961,34,281.2657103825137,315.59125,422.6683376779627,34.3255396174863,Córdoba,2019,99.99960670924426
14,Córdoba,2020,15953,41,280.0,320.780487804878,430.2595750015671,40.78048780487802,Córdoba,2019,101.79562661214827
14,Córdoba,2021,16805,41,280.0,324.5,439.7839333531687,44.5,Córdoba,2019,104.0490059273591
14,Córdoba,2022,17356,42,298.3553791887125,340.5957867783985,451.019128831528,42.240407589686015,Córdoba,2019,106.70715424125868
14,Córdoba,2023,18504,47,296.40140845070425,344.82926829268297,456.4254755728491,48.427859841978716,Córdoba,2019,107.98624827237539
14,Córdoba,2024,19610,48,300.0,353.820110701107,483.21545130035696,53.82011070110701,Córdoba,2019,114.32452061900702
15,"Coruña, A",2019,59611,77,251.61184210526315,333.13253012048193,386.23733874620456,81.52068801521878,A Coruna,2019,99.99931098441502
15,"Coruña, A",2020,62316,79,263.3636363636364,339.79166666666663,391.49723987418963,76.42803030303025,A Coruna,2019,101.36113294174338
15,"Coruña, A",2021,64597,84,277.7635401721664,345.175683764339,401.4961066303389,67.41214359217258,A Coruna,2019,103.94990333221284
15,"Coruña, A",2022,66344,85,297.1189189189189,351.0,419.1631345713252,53.881081081081106,A Coruna,2019,108.52400957211195
15,"Coruña, A",2023,69500,89,300.0,363.65263157894736,434.62494964028775,63.652631578947364,A Coruna,2019,112.52717213139181
15,"Coruña, A",2024,72627,89,308.0,383.7821782178218,461.94716840844313,75.78217821782181,A Coruna,2019,119.60106887128292
16,Cuenca,2019,4291,22,267.7163461538462,306.75,365.56700069913774,39.03365384615381,Cuenca,2019,99.99917955497928
16,Cuenca,2020,4685,26,271.0,317.237512800091,365.0138740661686,46.237512800091,Cuenca,2019,99.84787429662407
16,Cuenca,2021,4953,30,262.0,325.68965517241384,384.90793458509995,63.689655172413836,Cuenca,2019,105.28980348089286
16,Cuenca,2022,5099,30,284.9381443298969,345.75,404.2741714061581,60.811855670103114,Cuenca,2019,110.58734890887057
16,Cuenca,2023,5458,36,283.25,348.8461538461538,421.34957860021984,65.59615384615381,Cuenca,2019,115.25824837930352
16,Cuenca,2024,5754,38,293.5,354.25,447.5867222801529,60.75,Cuenca,2019,122.43529892500833
17,Girona,2019,48402,171,433.70861833105334,556.6101376720901,479.5597495971241,122.90151934103676,Girona,2019,99.99994778487032
17,Girona,2020,50378,172,449.4347181008902,566.7731481481482,492.5336059391004,117.33843004725793,Girona,2019,102.70531444221795
17,Girona,2021,52318,175,460.0958094555874,600.0,508.7846439084063,139.9041905444126,Girona,2019,106.09405369680671
17,Girona,2022,52214,176,479.5,600.0,528.9758110851495,120.5,Girona,2019,110.304406348559
17,Girona,2023,55206,177,500.0,622.3597122302158,550.5350505379851,122.35971223021579,Girona,2019,114.8000355613448
17,Girona,2024,56089,177,512.0,650.0,574.2047816862487,138.0,Girona,2019,119.73575395909765
18,Granada,2019,31888,66,290.1831447963801,378.8258762380632,416.37597215253385,88.64273144168311,Granada,2019,99.99903265107206
18,Granada,2020,33173,67,300.0,385.2005813953489,424.92451692641606,85.20058139534888,Granada,2019,102.05209590432203
18,Granada,2021,34573,69,300.0,390.0,443.1110982558644,90.0,Granada,2019,106.41988045916338
18,Granada,2022,35781,73,300.0,400.0,455.850591095833,100.0,Granada,2019,109.47946373404895
18,Granada,2023,38043,75,318.0363559501163,414.23632358466807,484.105380753358,96.1999676345518,Granada,2019,116.26528189474952
18,Granada,2024,39702,81,327.484375,447.66472303206996,510.0440783839605,120.18034803206996,Granada,2019,122.49485527257804
19,Guadalajara,2019,12774,40,317.8244870651204,476.34002412909064,463.8510255205887,158.5155370639702,Guadalajara,2019,100.00022108884093
19,Guadalajara,2020,13439,41,320.16129032258067,500.0,484.98913609643574,179.83870967741933,Guadalajara,2019,104.55732156870448
19,Guadalajara,2021,13990,40,332.20197044334975,513.5168650793651,498.51007862759116,181.3148946360153,Guadalajara,2019,107.47226013314457
19,Guadalajara,2022,14486,43,342.7189189189189,517.8230867346939,515.7507248377744,175.10416781577499,Guadalajara,2019,111.18911821446036
19,Guadalajara,2023,15095,46,350.9776119402985,532.0060674737506,538.5542894998343,181.02845553345207,Guadalajara,2019,116.10526883687275
19,Guadalajara,2024,15621,49,358.0,559.5054945054945,575.6660905191729,201.50549450549454,Guadalajara,2019,124.10608828698348
20,Gipuzkoa,2022,37064,65,510.0,652.0,724.1310705806173,142.0,Gipuzkoa,2022,100.0001478437045
20,Gipuzkoa,2023,37716,64,541.75,670.2045454545455,747.3855923215611,128.4545454545455,Gipuzkoa,2022,103.21152173250124
20,Gipuzkoa,2024,40602,66,552.0,692.8395117540687,770.7344712083149,140.83951175406867,Gipuzkoa,2022,106.43592603652866
21,Huelva,2019,7964,40,300.0,352.9354107641572,394.87995981918635,52.93541076415721,Huelva,2019,99.99998982455084
21,Huelva,2020,8507,39,318.0,371.2312633832977,404.9779005524862,53.23126338329769,Huelva,2019,102.55720739274874
21,Huelva,2021,8981,40,300.0,380.5371192273101,414.8227368889879,80.53711922731009,Huelva,2019,105.05032842610107
21,Huelva,2022,9451,43,301.1736111111111,396.0,426.1698232991218,94.82638888888891,Huelva,2019,107.92388150808392
21,Huelva,2023,10109,43,330.0,399.378431372549,447.9394598872292,69.37843137254902,Huelva,2019,113.43685673805439
21,Huelva,2024,10734,44,329.5,400.0,463.88187069126144,70.5,Huelva,2019,117.47413662157146
22,Huesca,2019,10626,47,291.5,361.69889682024655,377.75381140598535,70.19889682024655,Huesca,2019,100.00100897577376
