COD_PROVINCIA,province_name,ccaa,population,households,coverage_1gbps_2023_pct,coverage_1gbps_2024_pct,coverage_change_pp,coverage_gap_pct,readiness_class,readiness_recommendation,alert_tech_gap,connected_households_2024,uncovered_households_2024,area_km2,label_lat,label_lon,year
33,Asturias,ASTURIAS (PRINCIPADO DE),1005283,446365,83.65,88.17,4.52,11.83,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,393557.0,52808.0,10603.9,43.33389761312147,-5.975911164897366,2024
48,Bizkaia,PAIS VASCO,1154306,483378,95.01,87.21,-7.8,12.79,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,421561.0,61817.0,2212.1,43.23686785807184,-2.716604977193986,2024
15,"Coruña, A",GALICIA,1123426,451351,81.3,85.78,4.48,14.22,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,387157.0,64194.0,7947.0,43.11935874280309,-8.598483675830636,2024
36,Pontevedra,GALICIA,944245,362056,83.14,85.0,1.86,15.0,Nivel 3 - Revisar (85-90%),"Aceptable, pero conviene revisar municipios concretos.",False,307754.0,54302.0,4492.9,42.364215486433736,-8.574421814045706,2024
05,Ávila,CASTILLA Y LEÓN,158407,69720,78.54,84.9,6.36,15.1,Nivel 2 - Riesgo medio (80-85%),Valido solo con comprobacion previa de direccion.,True,59193.0,10527.0,8051.9,40.64068122908034,-4.9794398612244635,2024
37,Salamanca,CASTILLA Y LEÓN,327170,143005,80.73,84.08,3.35,15.92,Nivel 2 - Riesgo medio (80-85%),Valido solo con comprobacion previa de direccion.,True,120243.0,22762.0,12351.3,40.811023629999404,-5.965368675745766,2024
42,Soria,CASTILLA Y LEÓN,89482,37969,81.98,82.57,0.6,17.43,Nivel 2 - Riesgo medio (80-85%),Valido solo con comprobacion previa de direccion.,True,31352.0,6617.0,10304.3,41.57446674954193,-2.6009897431217834,2024
44,Teruel,ARAGÓN,135237,54614,77.89,81.6,3.71,18.4,Nivel 2 - Riesgo medio (80-85%),Valido solo con comprobacion previa de direccion.,True,44563.0,10051.0,14808.7,40.5666862258921,-1.0351186816982716,2024
22,Huesca,ARAGÓN,227077,90221,77.35,79.2,1.85,20.8,Nivel 1 - Riesgo alto (<80%),No usar como destino tech sin revisar zona concreta.,True,71459.0,18762.0,15633.2,42.169970738434614,-0.016303779063651064,2024
32,Ourense,GALICIA,304550,133564,77.71,78.15,0.44,21.85,Nivel 1 - Riesgo alto (<80%),No usar como destino tech sin revisar zona concreta.,True,104376.0,29188.0,7274.0,42.24518072543013,-7.480131077030379,2024
27,Lugo,GALICIA,323956,137472,70.11,77.05,6.94,22.95,Nivel 1 - Riesgo alto (<80%),No usar como destino tech sin revisar zona concreta.,True,105919.0,31553.0,9858.9,43.04836166142623,-7.366703154768967,2024
