COD_PROVINCIA,province_name,latitude,longitude,annual_mean_c,jan_c,feb_c,mar_c,apr_c,may_c,jun_c,jul_c,aug_c,sep_c,oct_c,nov_c,dec_c,winter_c,spring_c,summer_c,autumn_c,start_year,end_year
20,Gipuzkoa,43.143589420500064,-2.205139585800379,11.968857455740098,5.259666666666668,5.957830188679245,8.165666666666668,10.196666666666665,13.442000000000004,16.857666666666667,18.766000000000002,19.273000000000003,16.905666666666665,13.704666666666666,8.65466666666667,6.065666666666667,5.755096011816842,10.60584420289855,18.314554347826085,13.095106227106225,1995,2024
21,Huelva,37.50755725950003,-6.924822497255386,18.036039423252408,9.428999999999998,10.625448113207549,13.065666666666667,15.75,19.807999999999996,24.71666666666666,27.953666666666667,27.846999999999998,23.75466666666666,19.23933333333333,13.338999999999999,10.425333333333333,10.145830871491883,16.212865942028994,26.862181159420288,18.78273992673993,1995,2024
22,Huesca,42.13716720950006,-0.028957152118629204,14.20425807629129,4.850666666666666,6.248832547169813,9.369,12.406666666666666,16.791000000000004,21.857999999999997,24.820666666666664,24.471000000000007,19.690000000000005,15.09533333333333,8.747666666666667,5.5906666666666665,5.5426329394387,12.860434782608694,23.73675724637681,14.517421245421252,1995,2024
23,Jaen,37.95618422350003,-3.4932971309301637,16.57086329622195,6.772999999999999,8.26494103773585,11.144333333333336,14.068,18.647333333333332,24.361666666666668,28.185,27.916333333333327,22.70966666666667,17.568333333333335,10.794333333333332,7.867333333333332,7.61601920236337,14.625887681159423,26.84773188405797,17.030091575091564,1995,2024
24,Leon,42.62991046950003,-5.971001316208753,10.289727139989054,2.613666666666667,3.4405778301886794,5.777333333333335,8.247000000000002,11.874333333333334,16.438333333333336,19.337,19.349,15.56533333333333,11.210666666666663,5.881333333333333,3.298666666666666,3.107858197932053,8.637083333333326,18.39582608695652,10.889347985347985,1995,2024
25,Lleida,42.06625917800005,1.1781995144377118,12.512047818945055,3.450999999999999,4.749799528301887,7.6653333333333356,10.676999999999998,15.070333333333338,20.016000000000002,22.850333333333335,22.39166666666667,17.75466666666667,13.426333333333334,7.262333333333332,4.328,4.158899556868536,11.142561594202897,21.77154347826087,12.821168498168499,1995,2024
26,"Rioja, La",42.28327214700005,-2.4828031135403053,11.949119364847602,4.219666666666666,5.174327830188678,7.770000000000001,10.178666666666668,13.86866666666667,17.950333333333333,20.198,20.472333333333335,17.081666666666667,13.359333333333336,7.656666666666669,5.025999999999998,4.795531757754801,10.610420289855071,19.5575036231884,12.706476190476183,1995,2024
27,Lugo,43.04075275650007,-7.447991749594156,12.297275050191647,5.847333333333332,6.419799528301888,8.38,10.322999999999999,13.270333333333337,17.011666666666667,19.723333333333333,20.014333333333337,17.41433333333333,13.563333333333333,8.761333333333333,6.459666666666667,6.236890694239291,10.661416666666664,18.937148550724636,13.249816849816852,1995,2024
28,Madrid,40.52170160700007,-3.7676423784264705,13.517479467056047,3.722666666666667,5.154752358490566,8.112333333333334,11.189000000000002,15.738333333333333,21.525333333333332,25.243000000000002,24.843666666666664,19.653333333333336,14.203000000000003,7.6963333333333335,4.5840000000000005,4.466923929098965,11.68522463768116,23.89615942028985,13.854758241758244,1995,2024
29,Malaga,36.79629998300004,-4.5467261235657,16.516986676400798,8.414333333333332,9.479646226415095,11.673333333333334,14.055666666666667,17.943333333333335,22.78033333333333,26.18133333333333,26.161333333333335,21.86733333333333,17.619666666666667,12.044666666666666,9.513333333333335,9.125358197932051,14.562898550724634,25.06557246376811,17.182084249084255,1995,2024
