COD_PROVINCIA,province_name,temperature_mean_c,temperature_anomaly_c,climate_group,climate_comfort_score,area_km2,latitude,longitude,start_year,end_year
47,Valladolid,12.569833911297678,-1.731047355637612,Templada fresca,43.6,8109.416091319087,41.70412361100006,-4.697091012250786,1995,2024
49,Zamora,12.5537844497171,-1.7470968172181909,Templada fresca,43.4,10557.899131022821,41.686580826500034,-5.9425946080037,1995,2024
25,Lleida,12.512047818945057,-1.7888334479902337,Templada fresca,42.9,12169.106743573244,42.06625917800005,1.1781995144377118,1995,2024
19,Guadalajara,12.501276692827163,-1.7996045741081268,Templada fresca,42.7,12212.892736848722,40.74142346900004,-2.5050392600436364,1995,2024
27,Lugo,12.297275050191647,-2.003606216743643,Templada fresca,40.1,9858.92772980283,43.04075275650007,-7.447991749594156,1995,2024
01,Araba/Alava,11.968857455740098,-2.3320238111951923,Fria,35.9,3039.8155502621407,42.84685163200004,-2.681504930102382,1995,2024
20,Gipuzkoa,11.968857455740098,-2.3320238111951923,Fria,35.9,1978.7550067353454,43.143589420500064,-2.205139585800379,1995,2024
16,Cuenca,11.954189633144736,-2.346691633790554,Fria,35.7,17140.40618811931,39.93968445450005,-2.1524468968601638,1995,2024
26,"Rioja, La",11.949119364847602,-2.351761902087688,Fria,35.7,5046.828733862302,42.28327214700005,-2.4828031135403053,1995,2024
48,Bizkaia,11.87137342580762,-2.42950784112767,Fria,34.7,2212.1243508020907,43.23917273750004,-2.8511295597341766,1995,2024
32,Ourense,11.8485371418142,-2.4523441251210905,Fria,34.4,7274.005064288531,42.19269801600004,-7.536621236336593,1995,2024
40,Segovia,11.63369866764008,-2.6671825992952094,Fria,31.7,6925.051537684477,41.10883397450005,-4.183805510118308,1995,2024
05,Avila,11.239353896696477,-3.0615273702388137,Fria,26.6,8051.924472669341,40.62552329400006,-4.835890534161348,1995,2024
44,Teruel,11.16584960759262,-3.135031659342671,Fria,25.7,14808.680723282137,40.59881203300006,-0.9214764144525668,1995,2024
42,Soria,10.956325971892689,-3.3445552950426016,Fria,23.0,10304.321207640402,41.60141172000005,-2.72147948535578,1995,2024
34,Palencia,10.490542069720751,-3.810339197214539,Fria,17.1,8051.579981132982,42.40816813050006,-4.61893106073844,1995,2024
09,Burgos,10.351837926628953,-3.9490433403063374,Fria,15.3,14291.016250887174,42.32538152850006,-3.67701500562906,1995,2024
24,Leon,10.289727139989054,-4.011154126946236,Fria,14.6,15577.765975873946,42.62991046950003,-5.971001316208753,1995,2024
39,Cantabria,9.147036868041614,-5.153844398893677,Fria,0.0,5323.46688281513,43.13570550750006,-4.264261444415774,1995,2024
